loan_id,age,income_monthly,loan_amount,loan_tenure_m,interest_rate,existing_loans,credit_score,employment_type,education,residence_type,delinquency_30d,utilisation_pct,months_employed,loan_purpose,emi,foir_pct,ltv_proxy,default
LN000001,40,43408,41323,84,9.04,0,738,Salaried,Graduate,Own,2,24.7,43,Home Improvement,666,1.53,0.0793,0
LN000002,64,49790,65413,84,22.49,4,376,Salaried,Professional,Own,2,10.2,26,Wedding,1552,3.12,0.1095,1
LN000003,64,21396,151185,84,20.03,1,362,Salaried,Post-Graduate,Own,0,77.3,116,Vehicle,3360,15.7,0.5888,0
LN000004,37,33908,169875,24,22.76,4,584,Self-Employed,Graduate,Rented,2,39.5,21,Education,8877,26.18,0.4175,0
LN000005,62,24168,100328,12,22.79,2,625,Salaried,Professional,Family,0,89.9,215,Debt Consolidation,9428,39.01,0.3459,0
LN000006,57,65435,45193,12,25.82,2,788,Self-Employed,Professional,Own,2,25.7,190,Wedding,4313,6.59,0.0576,0
LN000007,49,11249,90054,84,27.47,0,363,Salaried,Graduate,Rented,2,68.3,232,Home Improvement,2424,21.55,0.6671,0
LN000008,57,23207,36493,48,11.88,0,458,Salaried,Under-Graduate,Rented,2,36.0,219,Education,959,4.13,0.131,1
LN000009,54,24382,50447,84,17.02,4,395,Business,Post-Graduate,Family,1,50.8,78,Home Improvement,1032,4.23,0.1724,0
LN000010,63,73331,245016,48,22.07,0,729,Salaried,Under-Graduate,Family,2,85.1,289,Vehicle,7729,10.54,0.2784,0
LN000011,37,26232,19541,12,10.79,2,428,Salaried,Post-Graduate,Own,4,14.4,190,Education,1725,6.58,0.0621,1
LN000012,24,40031,135550,24,10.9,0,714,Salaried,Post-Graduate,Own,1,1.4,271,Debt Consolidation,6311,15.77,0.2822,0
LN000013,41,25533,41540,72,19.51,2,392,Freelancer,Graduate,Own,0,46.8,165,Debt Consolidation,983,3.85,0.1356,1
LN000014,34,30417,174225,84,27.83,0,687,Salaried,Under-Graduate,Rented,3,65.0,4,Debt Consolidation,4730,15.55,0.4773,0
LN000015,42,13885,39815,24,25.56,0,339,Self-Employed,Graduate,Rented,0,19.0,107,Wedding,2136,15.38,0.239,0
LN000016,61,39316,302833,72,24.53,2,482,Salaried,Post-Graduate,Family,4,55.6,179,Medical,8070,20.53,0.6419,0
LN000017,63,43265,38493,48,15.16,1,679,Self-Employed,Under-Graduate,Rented,1,10.3,94,Wedding,1074,2.48,0.0741,0
LN000018,50,25740,28742,12,20.26,0,318,Self-Employed,Graduate,Own,2,23.2,36,Education,2666,10.36,0.0931,0
LN000019,48,17470,214191,48,22.94,0,382,Self-Employed,Graduate,Own,0,75.6,17,Home Improvement,6858,39.26,1.0217,0
LN000020,33,38625,46640,60,8.69,2,548,Freelancer,Under-Graduate,Rented,3,18.0,100,Education,961,2.49,0.1006,0
LN000021,21,23829,34589,48,14.95,1,572,Business,Post-Graduate,Own,1,41.1,206,Vehicle,962,4.04,0.121,0
LN000022,38,28946,75743,48,25.1,3,502,Salaried,Graduate,Family,5,65.3,24,Home Improvement,2516,8.69,0.2181,1
LN000023,40,48532,83783,72,15.19,4,766,Self-Employed,Graduate,Rented,1,61.3,86,Medical,1780,3.67,0.1439,0
LN000024,31,33482,94426,12,13.2,0,724,Freelancer,Under-Graduate,Rented,3,17.7,61,Personal,8443,25.22,0.235,0
LN000025,55,18130,74333,24,25.31,3,385,Self-Employed,Graduate,Rented,2,36.7,283,Business,3979,21.95,0.3417,0
LN000026,28,78468,114222,60,26.41,0,397,Salaried,Under-Graduate,Family,4,27.2,266,Personal,3448,4.39,0.1213,0
LN000027,42,10788,26364,72,9.53,2,837,Salaried,Under-Graduate,Own,0,42.1,55,Debt Consolidation,482,4.47,0.2037,0
LN000028,27,29118,181044,60,8.97,2,801,Salaried,Graduate,Rented,2,48.7,83,Medical,3756,12.9,0.5181,0
LN000029,36,46907,243651,72,16.18,2,827,Self-Employed,Professional,Rented,0,33.3,0,Debt Consolidation,5309,11.32,0.4329,0
LN000030,63,9313,335428,12,17.47,1,471,Salaried,Graduate,Rented,1,59.6,267,Vehicle,30667,329.29,3.0014,0
LN000031,50,43265,141113,60,13.53,4,680,Salaried,Graduate,Family,4,34.2,118,Business,3249,7.51,0.2718,1
LN000032,39,40588,197202,48,10.87,0,413,Salaried,Under-Graduate,Rented,1,8.8,55,Business,5084,12.53,0.4049,0
LN000033,30,10645,119150,84,19.45,0,536,Business,Post-Graduate,Rented,2,30.5,143,Business,2607,24.49,0.9328,0
LN000034,23,23370,71911,24,26.4,1,751,Self-Employed,Graduate,Rented,3,27.9,94,Business,3889,16.64,0.2564,0
LN000035,59,18404,179649,24,20.47,0,373,Self-Employed,Post-Graduate,Rented,4,32.8,191,Debt Consolidation,9185,49.91,0.8135,0
LN000036,42,17091,71574,72,26.17,3,718,Self-Employed,Graduate,Family,0,66.7,52,Vehicle,1980,11.59,0.349,0
LN000037,48,26075,48130,24,10.45,4,612,Salaried,Graduate,Rented,4,38.1,146,Wedding,2231,8.56,0.1538,1
LN000038,33,26153,212294,72,22.2,3,628,Business,Graduate,Rented,2,31.6,78,Debt Consolidation,5359,20.49,0.6764,1
LN000039,23,53879,80150,84,21.33,4,838,Business,Graduate,Family,0,57.9,206,Debt Consolidation,1845,3.42,0.124,1
LN000040,30,15480,73726,24,11.55,3,582,Salaried,Graduate,Rented,4,4.9,72,Personal,3455,22.32,0.3969,1
LN000041,27,39157,60659,36,17.41,1,663,Salaried,Graduate,Family,0,66.8,173,Wedding,2175,5.55,0.1291,0
LN000042,30,36483,56365,84,24.69,3,501,Self-Employed,Post-Graduate,Own,3,12.2,74,Personal,1416,3.88,0.1287,0
LN000043,27,18354,13808,36,21.53,0,836,Salaried,Graduate,Own,3,80.2,190,Wedding,524,2.85,0.0627,0
LN000044,46,23376,62129,24,16.78,4,424,Salaried,Graduate,Family,1,32.6,78,Vehicle,3065,13.11,0.2215,0
LN000045,26,22292,126317,60,23.75,2,467,Business,Post-Graduate,Own,5,2.0,235,Business,3616,16.22,0.4722,1
LN000046,46,47045,68668,24,13.76,3,459,Salaried,Post-Graduate,Rented,3,79.6,212,Wedding,3289,6.99,0.1216,1
LN000047,46,28692,89696,24,14.04,4,627,Salaried,Graduate,Rented,0,30.6,204,Medical,4308,15.01,0.2605,1
LN000048,60,25866,400411,72,24.22,0,650,Salaried,Graduate,Rented,2,18.7,52,Business,10595,40.96,1.29,0
LN000049,42,41430,190675,12,10.2,4,355,Salaried,Graduate,Rented,4,21.4,210,Business,16781,40.5,0.3835,0
