loan_id,age,income_monthly,loan_amount,loan_tenure_m,interest_rate,existing_loans,credit_score,employment_type,education,residence_type,delinquency_30d,utilisation_pct,months_employed,loan_purpose,emi,foir_pct,ltv_proxy,default,employment_enc,education_enc,residence_enc,purpose_enc,log_income,log_loan,credit_band,high_foir,high_util,delinq_flag,tenure_risk,combined_risk,pd_score,credit_grade,predicted_default
LN000001,40,43408,41323,84,9.04,0,738,Salaried,Graduate,Own,2,24.7,43,Home Improvement,666,1.53,0.0793,0,2,0,1,3,10.67842207186152,10.629198723969337,1,0,0,1,1,1,17.8,A — Very Low Risk,0
LN000002,64,49790,65413,84,22.49,4,376,Salaried,Professional,Own,2,10.2,26,Wedding,1552,3.12,0.1095,1,2,2,1,7,10.815589523788828,11.088491581814447,4,0,0,1,1,4,29.2,B — Low Risk,0
LN000003,64,21396,151185,84,20.03,1,362,Salaried,Post-Graduate,Own,0,77.3,116,Vehicle,3360,15.7,0.5888,0,2,1,1,6,9.97100600426695,11.926266145848018,4,0,0,0,1,1,3.9,A — Very Low Risk,0
LN000004,37,33908,169875,24,22.76,4,584,Self-Employed,Graduate,Rented,2,39.5,21,Education,8877,26.18,0.4175,0,3,0,2,2,10.43143574485884,12.042824038117502,3,0,0,1,0,4,34.6,B — Low Risk,0
LN000005,62,24168,100328,12,22.79,2,625,Salaried,Professional,Family,0,89.9,215,Debt Consolidation,9428,39.01,0.3459,0,2,2,0,1,10.092826099237977,11.516210064761445,3,0,1,0,0,3,7.9,A — Very Low Risk,0
LN000006,57,65435,45193,12,25.82,2,788,Self-Employed,Professional,Own,2,25.7,190,Wedding,4313,6.59,0.0576,0,3,2,1,7,11.088827844714062,10.71871961364631,0,0,0,1,0,3,20.5,B — Low Risk,0
LN000007,49,11249,90054,84,27.47,0,363,Salaried,Graduate,Rented,2,68.3,232,Home Improvement,2424,21.55,0.6671,0,2,0,2,3,9.328123407632566,11.408175873771158,4,0,0,1,1,1,9.3,A — Very Low Risk,0
LN000008,57,23207,36493,48,11.88,0,458,Salaried,Under-Graduate,Rented,2,36.0,219,Education,959,4.13,0.131,1,2,3,2,2,10.05225232580124,10.504903142496481,4,0,0,1,0,1,12.9,A — Very Low Risk,0
LN000009,54,24382,50447,84,17.02,4,395,Business,Post-Graduate,Family,1,50.8,78,Home Improvement,1032,4.23,0.1724,0,0,1,0,3,10.101641447146731,10.828698381784841,4,0,0,1,1,4,20.0,B — Low Risk,0
LN000010,63,73331,245016,48,22.07,0,729,Salaried,Under-Graduate,Family,2,85.1,289,Vehicle,7729,10.54,0.2784,0,2,3,0,6,11.202752354682916,12.409082874874747,1,0,1,1,0,2,11.0,A — Very Low Risk,0
LN000011,37,26232,19541,12,10.79,2,428,Salaried,Post-Graduate,Own,4,14.4,190,Education,1725,6.58,0.0621,1,2,1,1,2,10.174773439176352,9.880321274504288,4,0,0,1,0,3,64.0,D — High Risk,1
LN000012,24,40031,135550,24,10.9,0,714,Salaried,Post-Graduate,Own,1,1.4,271,Debt Consolidation,6311,15.77,0.2822,0,2,1,1,1,10.597434413266638,11.81710323225113,2,0,0,1,0,1,7.7,A — Very Low Risk,0
LN000013,41,25533,41540,72,19.51,2,392,Freelancer,Graduate,Own,0,46.8,165,Debt Consolidation,983,3.85,0.1356,1,1,0,1,1,10.147766176380296,10.634436170322823,4,0,0,0,1,2,9.3,A — Very Low Risk,0
LN000014,34,30417,174225,84,27.83,0,687,Salaried,Under-Graduate,Rented,3,65.0,4,Debt Consolidation,4730,15.55,0.4773,0,2,3,2,1,10.322789817432314,12.068108585994652,2,0,0,1,1,1,23.0,B — Low Risk,0
LN000015,42,13885,39815,24,25.56,0,339,Self-Employed,Graduate,Rented,0,19.0,107,Wedding,2136,15.38,0.239,0,3,0,2,7,9.538636417313219,10.59202412053839,4,0,0,0,0,0,4.9,A — Very Low Risk,0
LN000016,61,39316,302833,72,24.53,2,482,Salaried,Post-Graduate,Family,4,55.6,179,Medical,8070,20.53,0.6419,0,2,1,0,4,10.579412274300488,12.62094007957876,4,0,0,1,1,3,50.5,D — High Risk,1
LN000017,63,43265,38493,48,15.16,1,679,Self-Employed,Under-Graduate,Rented,1,10.3,94,Wedding,1074,2.48,0.0741,0,3,3,2,7,10.675122386144814,10.55825766397507,2,0,0,1,0,2,8.4,A — Very Low Risk,0
